case,scale,ref_modality,config,fold,seed,dice,hd95,gt_boundary_px,pred_boundary_px,gt_area_frac,pred_area_frac,content_w,degenerate,bf1,bf2,bf3,bf5,nsd1,nsd2,nsd3,nsd5,residual_px,residual_p95_px,residual_area_frac,over_depth_p95_px,over_area_ratio,fully_covered
病例14,far,WLI,mmd_fusion,0,1,0.7118796992502866,18.905633026080576,308,302,0.0321044921875,0.05809190538194445,384,0,0.0,0.0,0.0048939641109298545,0.06282722513089006,0.0,0.0,0.006557377049180328,0.06557377049180328,0.0,0.0,0.0,14.035668847618199,0.8094634558512885,1.0
病例14,far,NBI,mmd_fusion,0,1,0.6806196931333223,143.68837800263498,847,772,0.1830376519097222,0.18116590711805555,384,0,0.1130007558578987,0.1352944827158195,0.1501684941408835,0.17856148809804184,0.11303273625694873,0.1352686843730698,0.15009264978381717,0.17850525015441632,50.60632371551998,36.05551275463989,0.32286031863653203,139.12943613772032,0.31263430900333455,0.0
病例14,near,WLI,mmd_fusion,0,1,0.8356031205293869,66.55971818186558,949,929,0.4973076714409722,0.3606906467013889,384,0,0.17199550260973928,0.24441551751741997,0.2971088909334545,0.3880229300889469,0.17199148029818956,0.24440894568690097,0.2971246006389776,0.38817891373801916,67.00746227100382,47.01063709417264,0.27917251912560853,5.0,0.004459232793770711,0.0
病例14,near,NBI,mmd_fusion,0,1,0.892574184341454,44.28317965096906,1112,760,0.2935587565104167,0.2576836480034722,384,0,0.14353332480491238,0.20805032847121702,0.2862045242346312,0.421491950747033,0.14316239316239315,0.20673076923076922,0.28365384615384615,0.41773504273504275,53.03772242470448,40.607881008493905,0.161965486173678,15.033296378372908,0.0397578949800171,0.0
病例17,far,WLI,mmd_fusion,0,1,0.7487068328501468,31.444304404084846,836,311,0.0815768771701389,0.056084526909722224,384,0,0.06451612903225806,0.10663790339037402,0.16926838442730863,0.27258384881675274,0.06451612903225806,0.1054925893635571,0.16564952048823017,0.2702702702702703,38.41874542459709,26.832815729997478,0.36827666472690995,5.0,0.055781860503782525,0.0
病例17,far,NBI,mmd_fusion,0,1,0.7044832383444577,34.49923605945269,699,323,0.09058973524305555,0.060526529947916664,384,0,0.046966731898238745,0.06823319452706723,0.1084640204096946,0.17881402180602166,0.046966731898238745,0.06653620352250489,0.10567514677103718,0.17318982387475537,38.01315561749642,29.154759474226502,0.41241203773019913,11.704699910719626,0.0805509806857314,0.0
病例17,near,WLI,mmd_fusion,0,1,0.719620263971657,58.6472318296256,1211,504,0.2510104709201389,0.1461724175347222,384,0,0.057603686635944694,0.07730701654705815,0.10495626822157433,0.1677769831001535,0.05714285714285714,0.07755102040816327,0.10495626822157435,0.16851311953352768,67.47592163134935,50.08991914547278,0.4306594980142112,6.708203932499369,0.012995434036689811,0.0
病例17,near,NBI,mmd_fusion,0,1,0.91524094022515,83.2400067273769,2155,895,0.6039632161458334,0.5197957356770834,384,0,0.220327868852459,0.2590917604165366,0.30066979116162973,0.35658585653510033,0.22032786885245903,0.25868852459016395,0.3,0.35311475409836063,71.58910531638176,49.64876634922564,0.14853241707651194,3.032455532033665,0.00917379685149004,0.0
病例19,far,WLI,mmd_fusion,0,1,0.9059867971794676,7.217397266056003,167,156,0.0155029296875,0.014289008246527778,384,0,0.4210526315789474,0.6189223484262325,0.7103713463658609,0.9063298625044882,0.42105263157894735,0.6191950464396285,0.7120743034055728,0.9071207430340558,9.486832980505138,7.0,0.1294838145231846,3.032455532033674,0.051181102362204724,0.0
病例19,far,NBI,mmd_fusion,0,1,0.6083179627559451,218.2863941936667,264,582,0.038567437065972224,0.0754123263888889,384,0,0.2002018842530283,0.2687613444326219,0.31588114213331925,0.3947990543735224,0.19976359338061467,0.26832151300236406,0.31678486997635935,0.3947990543735225,13.341664064126334,10.44030650891055,0.10110778969579744,213.78166427476515,1.056444522595393,0.0
病例19,near,WLI,mmd_fusion,0,1,0.9179667840973161,12.893436661176132,265,272,0.037482367621527776,0.04336886935763889,384,0,0.4152859433458044,0.5698566107554105,0.6629422718808193,0.834199260152126,0.41527001862197394,0.5698324022346368,0.6629422718808193,0.8342644320297952,6.324555320336759,5.466671639841866,0.00995114890537362,12.0,0.1669983716301791,0.0
病例19,near,NBI,mmd_fusion,0,1,0.879110977624873,21.556890099272724,351,374,0.06077745225694445,0.07470024956597222,384,0,0.35862068965517246,0.47590183205252257,0.5613321676188927,0.6754983285873468,0.3586206896551724,0.47586206896551725,0.5613793103448276,0.6758620689655173,4.47213595499958,4.0,0.0201963847355501,19.924858845171276,0.24927471546529792,0.0
病例21,far,WLI,mmd_fusion,0,1,1.1502185415096591e-11,nan,517,0,0.0589599609375,0.0,384,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0
病例21,far,NBI,mmd_fusion,0,1,0.7093481114198357,47.0,597,526,0.08610026041666667,0.14640977647569445,384,0,0.05877114870881567,0.0998137446869478,0.14435536342482824,0.2257191201353638,0.058771148708815675,0.09973285841495994,0.14425645592163847,0.22617987533392697,13.601470508735444,9.848857801796104,0.04221802142407057,40.83380246946115,0.7426748582230623,0.0
病例21,near,WLI,mmd_fusion,0,1,0.8297038829363127,36.28770092239791,714,436,0.122802734375,0.11263020833333333,312,0,0.0831611570247934,0.15542557001313118,0.22688638572191122,0.34875855589853705,0.08260869565217391,0.15391304347826087,0.22434782608695653,0.3443478260869565,37.64306044943742,30.479501308256342,0.20466092334879613,16.101191507918173,0.12182460790810691,0.0
病例21,near,NBI,mmd_fusion,0,1,0.5027274807529893,189.6951501534775,1680,733,0.6873914930555556,0.23134358723958334,312,0,0.07865023160328127,0.08868628263572316,0.09926258590161934,0.11843663639952626,0.07915457936179031,0.08868628263572316,0.10029009531703274,0.12018234562784914,201.13676938839401,149.24845050715734,0.6640390686661405,1.4435028842544386,0.0005919494869771113,0.0
病例29,near,WLI,mmd_fusion,0,1,0.799670959615949,49.09674775249769,1511,471,0.15238444010416666,0.11142985026041667,384,0,0.21169520293585486,0.29402738732202777,0.3506516601914528,0.4537669491353042,0.21039354187689202,0.2875882946518668,0.3355196770938446,0.42230070635721495,62.369864518050704,51.62363799656123,0.30778816199376946,4.0,0.03902981753449043,0.0
病例29,near,NBI,mmd_fusion,0,1,0.8603886824810413,44.955467415507485,746,473,0.15883382161458334,0.12591552734375,384,0,0.18673838503193252,0.2638232928413802,0.3288414578999729,0.4978060055648546,0.18621821164889255,0.26251025430680885,0.3281378178835111,0.49548810500410173,49.73932046178355,40.73142595048488,0.22876905341360318,5.0,0.02151914948123479,0.0
病例40,far,WLI,mmd_fusion,0,1,0.8095603762720983,61.0,856,638,0.2824503580729167,0.21211073133680555,384,0,0.20481927710843373,0.2265972550875532,0.24343870118988997,0.26751549538163677,0.20481927710843373,0.22690763052208834,0.24364123159303883,0.26706827309236947,75.58438992278762,50.28916384272063,0.29124348723858917,29.566834018476797,0.04220989699632644,0.0
病例40,far,NBI,mmd_fusion,0,1,0.8234710445615033,32.01562118716424,777,361,0.0815700954861111,0.06879340277777778,384,0,0.13476263399693722,0.19747788981858924,0.23849788609798558,0.3090974990938746,0.1344463971880492,0.19595782073813708,0.23725834797891038,0.30404217926186294,26.1725046566048,17.0,0.24102095111406718,7.0,0.08438643165946126,0.0
病例40,near,WLI,mmd_fusion,0,1,0.8632675104552258,46.1082589691022,1136,681,0.2635633680555556,0.2261691623263889,384,0,0.21642709206222865,0.2696752889378096,0.28273790338176713,0.331506470777875,0.2162905888827738,0.26967528893780957,0.28233351678591084,0.3302146395156852,52.15361924162119,38.07886552931954,0.19797241663235898,24.18780642634188,0.0560930424042816,0.0
病例40,near,NBI,mmd_fusion,0,1,0.8154309825198126,65.0,658,933,0.2599690755208333,0.3025716145833333,384,0,0.09553739786297925,0.17473287240729102,0.22878692646134505,0.27769272951606266,0.09553739786297925,0.17473287240729102,0.22878692646134507,0.2771841609050911,26.570660511172846,19.66467421910977,0.11775447383523764,56.0,0.28162988469765743,0.0
病例44,far,WLI,mmd_fusion,0,1,0.9296229409513227,21.305843052655664,550,459,0.1272311740451389,0.12061225043402778,384,0,0.46184340931615464,0.5353548334979565,0.5818518318383228,0.6841801203139775,0.4618434093161546,0.535183349851338,0.5817641228939544,0.6838453914767096,26.476404589747453,20.23239632646265,0.09455785938915837,14.780009913296164,0.042535046106284315,0.0
病例44,far,NBI,mmd_fusion,0,1,0.8141604473556557,57.245087125446844,604,641,0.127197265625,0.1844821506076389,384,0,0.11566889221356318,0.17182481313601294,0.20953927938570588,0.3228915662650602,0.11566265060240964,0.1718875502008032,0.20963855421686747,0.3228915662650602,2.23606797749979,1.824264068711926,0.002505864789933888,51.19570294468082,0.4528684154403924,0.0
病例44,near,WLI,mmd_fusion,0,1,0.9459318212360978,38.0,1411,886,0.4755588107638889,0.4327935112847222,384,0,0.38144399918494876,0.4293378530712666,0.4718427029454429,0.5444551042138889,0.3804962995211145,0.4283848498040923,0.47061384414453633,0.542011319111885,27.202941017470888,21.18962010041709,0.0966003080257829,3.0,0.0066738919628087385,0.0
病例44,near,NBI,mmd_fusion,0,1,0.9690556688259896,36.72936352630305,1420,1120,0.6745944552951388,0.6392550998263888,384,0,0.5528477995041452,0.6277411576357115,0.6725330357883865,0.7256104349911356,0.552755905511811,0.6275590551181103,0.6724409448818898,0.7248031496062992,51.40038910358559,42.62861956682661,0.05632684245976295,3.605551275463989,0.003940767846551325,0.0
病例5,far,WLI,mmd_fusion,0,1,0.9221435793739788,9.054380928916643,293,223,0.030565049913194444,0.029798719618055556,384,0,0.39366438029003226,0.6684148657202279,0.751187372420623,0.8625109311097174,0.39341085271317827,0.6666666666666666,0.748062015503876,0.8585271317829457,12.041594578792296,9.433981132056603,0.08941646327934324,6.0,0.06434435322831152,0.0
病例5,far,NBI,mmd_fusion,0,1,0.7557724143961334,91.38130664564231,256,462,0.031622992621527776,0.046210394965277776,384,0,0.24332570556826852,0.28690807799442897,0.3423772904639117,0.4294699994530438,0.24373259052924792,0.28690807799442897,0.3412256267409471,0.4275766016713092,10.44030650891055,8.200222875501128,0.06991207377224963,89.0134807357682,0.531203088140682,0.0
病例5,near,WLI,mmd_fusion,0,1,0.8830838232623702,26.434738154145105,537,466,0.1001858181423611,0.12359619140625,384,0,0.24433372411098087,0.3955783576470116,0.4967608821938663,0.614702060155103,0.24426719840478564,0.39581256231306083,0.4965104685942173,0.6141575274177468,5.0,4.0,0.013741284776281053,23.53720459187964,0.2474108170310702,0.0
病例5,near,NBI,mmd_fusion,0,1,0.7853914848535356,144.9930281436223,535,758,0.12480333116319445,0.18882921006944445,384,0,0.09034744957228852,0.20697353582652597,0.3069026217811911,0.45194413697275143,0.09048723897911833,0.20804331013147717,0.30703789636504253,0.4547563805104408,6.0,4.0,0.01315002988643156,138.52724929976972,0.526164212356681,0.0
病例56,far,WLI,mmd_fusion,0,1,0.9051971794205237,17.0,623,454,0.09954155815972222,0.10819498697916667,384,0,0.24805316816869064,0.3310898373813804,0.4085322929477121,0.515278747348435,0.2479108635097493,0.3305478180129991,0.4076137418755803,0.5134633240482822,13.45362404707371,10.0,0.055457146750238454,12.0,0.14238997138574738,0.0
病例56,far,NBI,mmd_fusion,0,1,0.8427142995828701,36.0,1113,641,0.1900363498263889,0.15925428602430555,384,0,0.14864729218401537,0.21082361685325404,0.2731158938655675,0.42080312281994403,0.14880273660205245,0.2103762827822121,0.2725199543899658,0.41790193842645385,45.880278987817846,33.24154027718932,0.2255370780101349,10.816653826391969,0.06355720505317251,0.0
