case,scale,ref_modality,config,fold,seed,dice,hd95,gt_boundary_px,pred_boundary_px,gt_area_frac,pred_area_frac,content_w,degenerate,bf1,bf2,bf3,bf5,nsd1,nsd2,nsd3,nsd5,residual_px,residual_p95_px,residual_area_frac,over_depth_p95_px,over_area_ratio,fully_covered
病例1,far,WLI,mmd_fusion_w1e-4,4,2,0.3417752643387811,27.23046515060333,235,184,0.005221896701388889,0.022359212239583332,384,0,0.00477326968973747,0.02729044834307992,0.05796010538200979,0.13837283792440744,0.00477326968973747,0.028639618138424822,0.059665871121718374,0.14081145584725538,17.69180601295413,14.866068747318506,0.09740259740259741,21.633307652783937,3.379220779220779,0.0
病例1,far,NBI,mmd_fusion_w1e-4,4,2,0.8120968417533212,41.152115918084604,934,396,0.07087537977430555,0.0910305447048611,384,0,0.11344383057090239,0.18582527556903214,0.25675304632689194,0.36718413689195,0.11203007518796992,0.18045112781954886,0.24887218045112783,0.35413533834586464,19.0,13.0,0.072433259975122,13.601470508735444,0.35680796096067363,0.0
病例1,near,WLI,mmd_fusion_w1e-4,4,2,0.7589152252842253,34.94136605417754,598,373,0.04820421006944445,0.0788302951388889,384,0,0.0,0.03913491246138002,0.14517732847199205,0.24025306171836514,0.0,0.03913491246138002,0.1462409886714727,0.243048403707518,0.0,0.0,0.0,22.577625508510096,0.6353404614518852,1.0
病例1,near,NBI,mmd_fusion_w1e-4,4,2,0.8160685731691072,100.0,2848,1170,0.5140584309895834,0.7328355577256944,384,0,0.013580757001455083,0.02538576406172225,0.033408055535468946,0.06604888066155608,0.01368840219014435,0.02538576406172225,0.033847685415629665,0.0666998506719761,27.0,20.85381600456322,0.010276909275603225,36.6742416417845,0.4358649622036649,0.0
病例10,far,WLI,mmd_fusion_w1e-4,4,2,0.8274371276432029,40.7092323136305,894,490,0.12640380859375,0.1308525933159722,384,0,0.1820809248554913,0.2556736569951164,0.3015949734171097,0.38980383248689787,0.18208092485549132,0.2550578034682081,0.3020231213872832,0.3880057803468208,36.49657518178932,21.095023109728988,0.1580020387359837,36.76955262170047,0.19319705992810773,0.0
病例10,far,NBI,mmd_fusion_w1e-4,4,2,0.9462724098833921,57.551557306277154,1089,1050,0.589111328125,0.6190999348958334,384,0,0.3702952070833672,0.4292368399642014,0.49697123020055933,0.5992539680803352,0.3707339878447873,0.42964001870032725,0.49742870500233755,0.5993454885460495,18.0,14.62160076306269,0.029642676244416816,57.0087712549569,0.08054749735230464,0.0
病例10,near,WLI,mmd_fusion_w1e-4,4,2,0.8727700426748571,57.697486947006624,1165,1039,0.6205037434895834,0.4807807074652778,384,0,0.35801084637371106,0.3880866751825554,0.40445728435823364,0.43086252324489666,0.35798548094373867,0.3879310344827586,0.4042649727767695,0.4305807622504537,74.63243262818116,47.52788539834529,0.22549373203493012,1.0,0.00031695028252292425,0.0
病例10,near,NBI,mmd_fusion_w1e-4,4,2,0.9941985758650946,18.826589347816302,1285,1196,0.8309733072916666,0.8242865668402778,384,0,0.764984341010075,0.8062510204369586,0.8506892476751172,0.8842023025136085,0.7650141072148328,0.8061265618702136,0.8504635227730754,0.8839177750906893,8.602325267042627,6.082762530298219,0.009801521235269154,1.0,0.001754643684914961,0.0
病例11,far,WLI,mmd_fusion_w1e-4,4,2,0.5162111194430823,94.04520155960519,1243,494,0.2087334526909722,0.0897488064236111,384,0,0.013816925734024179,0.022192372831863573,0.03223949337938975,0.06580754294860718,0.013816925734024179,0.022452504317789293,0.03223949337938975,0.06966033390903857,106.51291001564083,84.50443775329198,0.6309171837941454,69.01485269521514,0.06088566880015595,0.0
病例11,far,NBI,mmd_fusion_w1e-4,4,2,0.6898434966639533,72.12142463801248,1223,663,0.2403293185763889,0.15702989366319445,384,0,0.09892586279870508,0.14973651563264703,0.20921346456041684,0.27271610922604617,0.09862142099681867,0.14899257688229056,0.2067868504772004,0.26776246023329797,90.87353850269065,63.0317380372777,0.4297082228116711,27.892651361962706,0.08310288390992719,0.0
病例11,near,WLI,mmd_fusion_w1e-4,4,2,0.7919218672408102,83.43860018001261,775,738,0.2902696397569444,0.2013481987847222,384,0,0.27826971626662644,0.3714750797429408,0.43562250704247957,0.5220634121286445,0.27825512227362853,0.37144745538664903,0.4355584930601454,0.5221414408460013,100.40916292848975,73.76042235700965,0.32937713190972384,8.0,0.023036306714639503,0.0
病例11,near,NBI,mmd_fusion_w1e-4,4,2,0.9685854774413292,34.70441081101701,1167,955,0.6216091579861112,0.58795166015625,384,0,0.5882170772163793,0.6340995845727335,0.6650825303728529,0.6931735367357922,0.588124410933082,0.6333647502356268,0.6639962299717248,0.6918001885014138,29.732137494637012,23.0,0.057636919048658086,3.605551275463989,0.003491162993672267,0.0
病例13,far,WLI,mmd_fusion_w1e-4,4,2,0.7293595243481247,48.08741948244622,435,486,0.06667073567708333,0.11354573567708333,384,0,0.16923312328729012,0.23203479001307667,0.25691431918437574,0.28098237195508013,0.16938110749185667,0.23235613463626492,0.25732899022801303,0.28230184581976114,16.55294535724685,6.094852169800142,0.014240667276980978,40.607881008493905,0.7173227545519276,0.0
病例13,far,NBI,mmd_fusion_w1e-4,4,2,0.5294214287676551,125.56910223018896,1782,890,0.2466091579861111,0.24873860677083334,384,0,0.03241991509069857,0.04664627485252349,0.06458966565349543,0.11361291497238574,0.03218562874251497,0.04640718562874251,0.06511976047904192,0.1122754491017964,86.97700845625813,62.93647591023825,0.4682928170718293,116.29703349613007,0.4769277307226928,0.0
病例13,near,WLI,mmd_fusion_w1e-4,4,2,0.8621927644300083,33.808165734489215,943,514,0.1725396050347222,0.1466946072048611,384,0,0.11330680515276187,0.176395473104431,0.24660875109587946,0.3411211227174866,0.11256005490734386,0.17433081674673986,0.24227865477007549,0.3335621139327385,37.36308338453881,28.600699292150182,0.20238188821633518,8.94427190999916,0.05259020517254933,0.0
