case,scale,ref_modality,config,fold,seed,dice,hd95,gt_boundary_px,pred_boundary_px,gt_area_frac,pred_area_frac,content_w,degenerate,bf1,bf2,bf3,bf5,nsd1,nsd2,nsd3,nsd5,residual_px,residual_p95_px,residual_area_frac,over_depth_p95_px,over_area_ratio,fully_covered
病例15,far,WLI,wli_only,2,0,0.7386848072574209,250.8138267195434,371,548,0.055304633246527776,0.09423149956597222,384,0,0.1514533881032266,0.1940843482735805,0.252849370930309,0.37075624214118913,0.1512513601741023,0.19368879216539717,0.25244831338411317,0.36996735582154516,1.0,1.0,0.00134886572654813,245.7417342714533,0.7052115266707542,0.0
病例15,near,WLI,wli_only,2,0,0.6746392654139164,85.19493409958777,871,553,0.16330973307291666,0.1468844943576389,384,0,0.06571441610003194,0.12415039356618995,0.17814998096688237,0.25959224321557994,0.06530898876404495,0.12289325842696629,0.17626404494382023,0.2563202247191011,58.59180830116101,45.880278987817846,0.3592874050080977,78.43468620451031,0.2587101864540509,0.0
病例18,far,WLI,wli_only,2,0,0.026946879841239384,55.183319393904945,213,433,0.007134331597222222,0.09806315104166667,384,0,0.06705856738515133,0.10731839292961176,0.12693498452012383,0.14650653573087388,0.06656346749226007,0.10681114551083591,0.12693498452012383,0.14551083591331268,23.194827009486403,20.37884509054969,0.8013307984790875,46.238512086787566,13.54657794676806,0.0
病例18,near,WLI,wli_only,2,0,0.842534147351197,75.07326826377603,1090,671,0.2966579861111111,0.22764756944444445,384,0,0.21735355217652866,0.36613322256095415,0.4183763698936128,0.5228317727433496,0.2174900624645088,0.36626916524701875,0.4185122089721749,0.5212947189097104,83.00602387778854,65.14598989960932,0.2554636064374543,5.0,0.02283741770299927,0.0
病例23,far,WLI,wli_only,2,0,0.8769994153538954,43.3265006087711,1277,626,0.2240532769097222,0.22833251953125,384,0,0.04342656258077858,0.0791174917585946,0.12359801477524941,0.21893131777850808,0.04308985811875985,0.07829742511823437,0.12243825538623226,0.21492380451918025,44.40720662234904,25.45584412271571,0.11462558266238876,20.223748416156685,0.13372480174344695,0.0
病例23,near,WLI,wli_only,2,0,0.6530503846699368,126.14455969072715,2160,837,0.5461357964409722,0.2710096571180556,384,0,0.013025806767543216,0.017497812773403322,0.026118515449362764,0.05464994074372219,0.01334668001334668,0.018351685018351684,0.02769436102769436,0.05739072405739072,141.1736519326464,98.0,0.511442798425451,7.280109889280518,0.007674063404154921,0.0
病例25,far,WLI,wli_only,2,0,0.37035436473865474,184.48555109167452,419,693,0.03523084852430555,0.1530829535590278,384,0,0.07928650165347229,0.10319806503628057,0.13017429837518463,0.17546036251157807,0.08003597122302158,0.10611510791366907,0.13399280575539568,0.1843525179856115,6.082762530298219,5.631098884280702,0.010202117420596728,175.4380225444096,3.355341674687199,0.0
病例25,near,WLI,wli_only,2,0,0.9758726316984156,5.830951894845301,625,585,0.1758490668402778,0.1828070746527778,384,0,0.4265299583466837,0.7506174188613267,0.8497795513790107,0.9322654462242562,0.42644628099173554,0.7504132231404959,0.8495867768595041,0.9322314049586777,3.0,2.0,0.004820671037408407,6.324555320336759,0.044388738912456614,0.0
病例30,far,WLI,wli_only,2,0,0.8955754177544242,16.964458192136025,424,328,0.058003743489583336,0.06415473090277778,384,0,0.26653156996587035,0.4353136603478601,0.5682616109940817,0.6713210452037804,0.26595744680851063,0.4348404255319149,0.5664893617021277,0.6688829787234043,13.0,10.034912934784622,0.05693908570092365,15.0,0.16298374839237695,0.0
病例30,near,WLI,wli_only,2,0,0.800331973166193,31.064449134018133,561,374,0.1168484157986111,0.07926432291666667,384,0,0.17453914780117988,0.21770835535076408,0.25839212690423763,0.30269223676931584,0.17433155080213902,0.21711229946524063,0.25668449197860965,0.30053475935828877,34.655446902326915,26.076809620810597,0.32838073128264655,3.0,0.006732443412652351,0.0
