case,scale,ref_modality,config,fold,seed,threshold,missed_frac,over_ratio,dice,pred_area_frac
病例12,far,NBI,early_fusion_nbi,1,2,0.05,0.0,28.210776545166404,0.06620154225458598,1.0
病例12,far,NBI,early_fusion_nbi,1,2,0.1,0.0,28.210776545166404,0.06620154225458598,1.0
病例12,far,NBI,early_fusion_nbi,1,2,0.15,0.0,28.210776545166404,0.06620154225458598,1.0
病例12,far,NBI,early_fusion_nbi,1,2,0.2,0.0,28.210776545166404,0.06620154225458598,1.0
病例12,far,NBI,early_fusion_nbi,1,2,0.25,0.7440570522979397,14.227614896988907,0.03305996596763979,0.4958292643229167
病例12,far,NBI,early_fusion_nbi,1,2,0.3,0.9784072900158478,12.929477020602219,0.003095491657787582,0.4433661566840278
病例12,far,NBI,early_fusion_nbi,1,2,0.35,0.998217115689382,12.408874801901744,0.00026589065985159477,0.42486572265625
病例12,far,NBI,early_fusion_nbi,1,2,0.4,0.9986133122028527,12.163034865293186,0.0002106720438194681,0.4164360894097222
病例12,far,NBI,early_fusion_nbi,1,2,0.45,1.0,2.2678288431061806,0.0,0.07763671875
病例12,far,NBI,early_fusion_nbi,1,2,0.5,1.0,2.097860538827258,0.0,0.07181803385416667
病例12,far,NBI,early_fusion_nbi,1,2,0.55,1.0,2.0027733755942947,0.0,0.06856282552083333
病例12,far,NBI,early_fusion_nbi,1,2,0.6,1.0,1.9292789223454834,0.0,0.06604682074652778
病例12,far,NBI,early_fusion_nbi,1,2,0.65,1.0,1.8440966719492868,0.0,0.06313069661458333
病例12,far,NBI,early_fusion_nbi,1,2,0.7,1.0,1.7254358161648178,0.0,0.05906846788194445
病例12,far,NBI,early_fusion_nbi,1,2,0.75,1.0,1.5566561014263074,0.0,0.053290473090277776
病例12,far,NBI,early_fusion_nbi,1,2,0.8,1.0,1.2975435816164818,0.0,0.04442003038194445
病例12,far,NBI,early_fusion_nbi,1,2,0.85,1.0,0.9494849445324881,0.0,0.03250461154513889
病例12,far,NBI,early_fusion_nbi,1,2,0.9,1.0,0.5311014263074485,0.0,0.018181694878472224
病例12,far,NBI,early_fusion_nbi,1,2,0.95,1.0,0.0,0.0,0.0
病例12,near,NBI,early_fusion_nbi,1,2,0.05,0.0,21.87203350395533,0.08378004327395581,1.0
病例12,near,NBI,early_fusion_nbi,1,2,0.1,0.0,21.87203350395533,0.08378004327395581,1.0
病例12,near,NBI,early_fusion_nbi,1,2,0.15,0.0,21.87203350395533,0.08378004327395581,1.0
病例12,near,NBI,early_fusion_nbi,1,2,0.2,0.0,21.870792616720955,0.08378439845343658,0.9999457465277778
