case,scale,ref_modality,config,fold,seed,threshold,missed_frac,over_ratio,dice,pred_area_frac
病例12,far,WLI,early_fusion_wli,1,0,0.05,0.0,37.470127837203236,0.050671231880671644,1.0
病例12,far,WLI,early_fusion_wli,1,0,0.1,0.0,9.109574745630054,0.18002489256233703,0.2627902560763889
病例12,far,WLI,early_fusion_wli,1,0,0.15,0.29689538220714845,3.6154448212888077,0.2643971352876268,0.11225721571180555
病例12,far,WLI,early_fusion_wli,1,0,0.2,0.5251761022697626,2.2066266631881035,0.25795478704373925,0.0697021484375
病例12,far,WLI,early_fusion_wli,1,0,0.25,0.6287503261153143,1.8345943125489172,0.23160807291478183,0.05733913845486111
病例12,far,WLI,early_fusion_wli,1,0,0.3,0.6676232715888338,1.6204017740673102,0.22512811450587444,0.050760904947916664
病例12,far,WLI,early_fusion_wli,1,0,0.35,0.702061048786851,1.4672580224367335,0.2154920275477357,0.04588487413194445
病例12,far,WLI,early_fusion_wli,1,0,0.4,0.7221497521523611,1.3595095225671798,0.21070333366098817,0.042561848958333336
病例12,far,WLI,early_fusion_wli,1,0,0.45,0.7445864857813723,1.285937907644143,0.20100605687094747,0.04006618923611111
病例12,far,WLI,early_fusion_wli,1,0,0.5,0.7738064179493869,1.1847117140620924,0.18764203008129376,0.036675347222222224
病例12,far,WLI,early_fusion_wli,1,0,0.55,0.8891207931124445,0.649882598486825,0.12594458438100542,0.019775390625
病例12,far,WLI,early_fusion_wli,1,0,0.6,0.9311244456039656,0.47847638925123925,0.08902377339253037,0.014227973090277778
病例12,far,WLI,early_fusion_wli,1,0,0.65,0.973910774849987,0.2890686146621445,0.039674667723870766,0.008192274305555556
病例12,far,WLI,early_fusion_wli,1,0,0.7,1.0,0.072006261414036,0.0,0.0018717447916666667
病例12,far,WLI,early_fusion_wli,1,0,0.75,1.0,0.0,0.0,0.0
病例12,far,WLI,early_fusion_wli,1,0,0.8,1.0,0.0,0.0,0.0
病例12,far,WLI,early_fusion_wli,1,0,0.85,1.0,0.0,0.0,0.0
病例12,far,WLI,early_fusion_wli,1,0,0.9,1.0,0.0,0.0,0.0
病例12,far,WLI,early_fusion_wli,1,0,0.95,1.0,0.0,0.0,0.0
病例12,near,WLI,early_fusion_wli,1,0,0.05,0.0,10.150635208711433,0.1646004480954913,1.0
病例12,near,WLI,early_fusion_wli,1,0,0.1,0.000529340592861464,2.8665305505142165,0.410797538384393,0.3467068142361111
病例12,near,WLI,early_fusion_wli,1,0,0.15,0.32652752571082877,0.6410314579552329,0.5819583755331069,0.1178860134548611
病例12,near,WLI,early_fusion_wli,1,0,0.2,0.48321234119782214,0.40948275862068967,0.5365681309600888,0.08306884765625
病例12,near,WLI,early_fusion_wli,1,0,0.25,0.5492286751361162,0.3368874773139746,0.5043147208100495,0.07063802083333333
病例12,near,WLI,early_fusion_wli,1,0,0.3,0.5920296430732003,0.301194797338173,0.47739138129157865,0.0635986328125
病例12,near,WLI,early_fusion_wli,1,0,0.35,0.6201603145795523,0.279643073200242,0.45778081567346646,0.05914306640625
病例12,near,WLI,early_fusion_wli,1,0,0.4,0.6389140955837871,0.26285541439806415,0.4447031431876847,0.05595567491319445
病例12,near,WLI,early_fusion_wli,1,0,0.45,0.6508620689655172,0.24947065940713853,0.4368022705750388,0.05368381076388889
病例12,near,WLI,early_fusion_wli,1,0,0.5,0.6702208106473079,0.23169993950393225,0.42239333623699743,0.05035400390625
病例12,near,WLI,early_fusion_wli,1,0,0.55,0.7623260738052027,0.147307924984876,0.34321594321406923,0.034525553385416664
病例12,near,WLI,early_fusion_wli,1,0,0.6,0.7838777979431337,0.1265880217785844,0.32191935120341336,0.030734592013888888
病例12,near,WLI,early_fusion_wli,1,0,0.65,0.8076981246218996,0.10775862068965517,0.2958352722179163,0.026909722222222224
病例12,near,WLI,early_fusion_wli,1,0,0.7,0.8366606170598911,0.08908045977011494,0.2608380630342903,0.022637261284722224
