case,scale,ref_modality,config,fold,seed,threshold,missed_frac,over_ratio,dice,pred_area_frac
病例14,far,WLI,mid_fusion,0,2,0.05,0.0,2.3014364174059994,0.46496095859910147,0.1059909396701389
病例14,far,WLI,mid_fusion,0,2,0.1,0.0,1.6795521757498943,0.5435444055310664,0.0860256618923611
病例14,far,WLI,mid_fusion,0,2,0.15,0.0,1.5004224757076468,0.571359604124245,0.08027479383680555
病例14,far,WLI,mid_fusion,0,2,0.2,0.0,1.2830587241233629,0.6091880066876258,0.07329644097222222
病例14,far,WLI,mid_fusion,0,2,0.25,0.0,1.0207013096746937,0.662097902093272,0.06487358940972222
病例14,far,WLI,mid_fusion,0,2,0.3,0.0,0.9281791297000422,0.6830183234693188,0.06190321180555555
病例14,far,WLI,mid_fusion,0,2,0.35,0.0,0.8709336713138994,0.6966374806806221,0.060065375434027776
病例14,far,WLI,mid_fusion,0,2,0.4,0.0,0.8223489649345163,0.7086295935879902,0.05850558810763889
病例14,far,WLI,mid_fusion,0,2,0.45,0.0,0.7097591888466414,0.7380729653824596,0.054890950520833336
病例14,far,WLI,mid_fusion,0,2,0.5,0.0,0.6706801858893113,0.7488728940856689,0.05363633897569445
病例14,far,WLI,mid_fusion,0,2,0.55,0.00021123785382340515,0.6326573722010984,0.7595891510130027,0.052408854166666664
病例14,far,WLI,mid_fusion,0,2,0.6,0.0010561892691170257,0.5906210392902408,0.7715148054427643,0.051032172309027776
病例14,far,WLI,mid_fusion,0,2,0.65,0.0021123785382340513,0.5428812843261512,0.7855004988295186,0.04946560329861111
病例14,far,WLI,mid_fusion,0,2,0.7,0.0035910435149978876,0.48626953950147866,0.802688675225026,0.047600640190972224
病例14,far,WLI,mid_fusion,0,2,0.75,0.00781580059146599,0.42395437262357416,0.8212974296133826,0.045464409722222224
病例14,far,WLI,mid_fusion,0,2,0.8,0.02175749894381073,0.34875369666244194,0.840777051553733,0.0426025390625
病例14,far,WLI,mid_fusion,0,2,0.85,0.04710604140261935,0.25285171102661597,0.8640107259063013,0.03870985243055555
病例14,far,WLI,mid_fusion,0,2,0.9,0.12885509083227714,0.13012251795521756,0.8705932024396179,0.032145182291666664
病例14,far,WLI,mid_fusion,0,2,0.95,0.4951415293620617,0.007182087029995775,0.6677842972804166,0.016438802083333332
