case,scale,ref_modality,config,fold,seed,threshold,missed_frac,over_ratio,dice,pred_area_frac
病例1,far,WLI,mmd_fusion,4,0,0.05,0.0,190.12597402597402,0.010409836619635108,0.9980400933159722
病例1,far,WLI,mmd_fusion,4,0,0.1,0.0,12.862337662337662,0.13456833274961055,0.0723876953125
病例1,far,WLI,mmd_fusion,4,0,0.15,0.0,9.655844155844155,0.17158774373067867,0.055643717447916664
病例1,far,WLI,mmd_fusion,4,0,0.2,0.0,7.674025974025974,0.20673915961596537,0.045294867621527776
病例1,far,WLI,mmd_fusion,4,0,0.25,0.003896103896103896,7.067532467532468,0.21980226393151164,0.042107476128472224
病例1,far,WLI,mmd_fusion,4,0,0.3,0.006493506493506494,6.738961038961039,0.22754312908644345,0.04037814670138889
病例1,far,WLI,mmd_fusion,4,0,0.35,0.01038961038961039,6.520779220779221,0.23256523729234602,0.03921847873263889
病例1,far,WLI,mmd_fusion,4,0,0.4,0.015584415584415584,6.323376623376624,0.23698608722468367,0.03816053602430555
病例1,far,WLI,mmd_fusion,4,0,0.45,0.02077922077922078,6.136363636363637,0.24131861097389473,0.03715684678819445
病例1,far,WLI,mmd_fusion,4,0,0.5,0.02987012987012987,5.955844155844156,0.24479764050065875,0.03616672092013889
病例1,far,WLI,mmd_fusion,4,0,0.55,0.06103896103896104,5.022077922077922,0.26977611939795193,0.0311279296875
病例1,far,WLI,mmd_fusion,4,0,0.6,0.06883116883116883,4.8077922077922075,0.2763538253945586,0.02996826171875
病例1,far,WLI,mmd_fusion,4,0,0.65,0.08181818181818182,4.609090909090909,0.28133704734816284,0.028862847222222224
病例1,far,WLI,mmd_fusion,4,0,0.7,0.09740259740259741,4.427272727272728,0.2851867049592699,0.02783203125
病例1,far,WLI,mmd_fusion,4,0,0.75,0.11038961038961038,4.189610389610389,0.29267250586856075,0.026523166232638888
病例1,far,WLI,mmd_fusion,4,0,0.8,0.13246753246753246,3.8532467532467534,0.3032917139545223,0.024651421440972224
病例1,far,WLI,mmd_fusion,4,0,0.85,0.17532467532467533,3.324675324675325,0.3203026481634224,0.02166748046875
病例1,far,WLI,mmd_fusion,4,0,0.9,0.22987012987012986,2.635064935064935,0.3496462264047864,0.017781575520833332
病例1,far,WLI,mmd_fusion,4,0,0.95,0.3064935064935065,1.6116883116883116,0.41964636540590783,0.012037489149305556
病例1,far,NBI,mmd_fusion,4,0,0.05,0.0,13.108123624533537,0.132379112701395,0.9999186197916666
病例1,far,NBI,mmd_fusion,4,0,0.1,9.56846234810066e-05,1.1642904985168883,0.6320118540003266,0.1533881293402778
病例1,far,NBI,mmd_fusion,4,0,0.15,0.006219500526265429,0.8967562912639939,0.6876096527502148,0.13399251302083334
病例1,far,NBI,mmd_fusion,4,0,0.2,0.023729786623289638,0.6635728638407807,0.7396426111829365,0.11622450086805555
病例1,far,NBI,mmd_fusion,4,0,0.25,0.030523394890441105,0.5970720505214812,0.7554710509609086,0.11102973090277778
病例1,far,NBI,mmd_fusion,4,0,0.3,0.03569036455841546,0.5626255860683188,0.7632246582575515,0.10822211371527778
病例1,far,NBI,mmd_fusion,4,0,0.35,0.03970911874461774,0.5365036838580041,0.7692189775397822,0.10608588324652778
病例1,far,NBI,mmd_fusion,4,0,0.4,0.04334513443689599,0.5160271744330686,0.7737791192602206,0.10437689887152778
病例1,far,NBI,mmd_fusion,4,0,0.45,0.04650272701176921,0.49631614199598123,0.7784244033871873,0.1027560763888889
病例1,far,NBI,mmd_fusion,4,0,0.5,0.049660319586642424,0.4749784709597168,0.783682487076247,0.10101996527777778
病例1,far,NBI,mmd_fusion,4,0,0.55,0.08908238446081715,0.3156635728638408,0.8182208852564752,0.08693440755208333
病例1,far,NBI,mmd_fusion,4,0,0.6,0.09683283896277868,0.2948043249449813,0.8218188150240658,0.08490668402777778
病例1,far,NBI,mmd_fusion,4,0,0.65,0.10477466271170223,0.27576308487226103,0.8247168231265163,0.08299424913194445
病例1,far,NBI,mmd_fusion,4,0,0.7,0.11089847861448665,0.2561477370586547,0.8289027653843491,0.08116997612847222
病例1,far,NBI,mmd_fusion,4,0,0.75,0.11807482537556215,0.2348100660223902,0.8332881294601153,0.07914903428819445
病例1,far,NBI,mmd_fusion,4,0,0.8,0.12783465697062482,0.21270691799827768,0.8366607003495494,0.07689073350694445
病例1,far,NBI,mmd_fusion,4,0,0.85,0.1423787197397378,0.18342742321308966,0.8403731658110714,0.07378472222222222
病例1,far,NBI,mmd_fusion,4,0,0.9,0.16610850636302746,0.1423787197397378,0.8439043284552924,0.06919352213541667
病例1,far,NBI,mmd_fusion,4,0,0.95,0.23002583484833988,0.07329442158645105,0.8354443521551316,0.05976698133680555
病例1,near,WLI,mmd_fusion,4,0,0.05,0.0,19.716797974113675,0.0920946081638138,0.9986368815104166
病例1,near,WLI,mmd_fusion,4,0,0.1,0.0,5.524901519414744,0.26578420924660984,0.3145277235243056
病例1,near,WLI,mmd_fusion,4,0,0.15,0.0,3.13618458075408,0.38939410540048924,0.19938151041666666
病例1,near,WLI,mmd_fusion,4,0,0.2,0.0,2.157850309510411,0.4810177979275867,0.1522216796875
病例1,near,WLI,mmd_fusion,4,0,0.25,0.0,1.825970737197524,0.5227431513126577,0.1362236870659722
病例1,near,WLI,mmd_fusion,4,0,0.3,0.0,1.702166572875633,0.5402242067241488,0.1302558051215278
病例1,near,WLI,mmd_fusion,4,0,0.35,0.0,1.641389983117614,0.5492408144320625,0.1273261176215278
病例1,near,WLI,mmd_fusion,4,0,0.4,0.0,1.5966516601012943,0.5560727557185368,0.12516954210069445
病例1,near,WLI,mmd_fusion,4,0,0.45,0.0,1.563449634214969,0.5612538986909816,0.1235690646701389
病例1,near,WLI,mmd_fusion,4,0,0.5,0.0,1.5226505346088914,0.567754303284605,0.12160237630208333
病例1,near,WLI,mmd_fusion,4,0,0.55,0.0,1.2753235790658413,0.6106266912907065,0.10968017578125
病例1,near,WLI,mmd_fusion,4,0,0.6,0.0,1.205402363534046,0.6239466292107446,0.10630967881944445
病例1,near,WLI,mmd_fusion,4,0,0.65,0.0,1.14786156443444,0.635351955304423,0.10353597005208333
病例1,near,WLI,mmd_fusion,4,0,0.7,0.0,1.0886325267304446,0.6475357565789945,0.1006808810763889
病例1,near,WLI,mmd_fusion,4,0,0.75,0.0,1.0132245357343839,0.6637407787811012,0.0970458984375
病例1,near,WLI,mmd_fusion,4,0,0.8,0.00014068655036578504,0.9167135621834552,0.6856398630037834,0.09238688151041667
病例1,near,WLI,mmd_fusion,4,0,0.85,0.0025323579065841305,0.7884074282498593,0.7160892839070998,0.0860866970486111
病例1,near,WLI,mmd_fusion,4,0,0.9,0.009707371975239167,0.6325267304445695,0.7551359759654822,0.07822672526041667
病例1,near,WLI,mmd_fusion,4,0,0.95,0.033061339335959485,0.4312042768711311,0.8064061949970291,0.06739637586805555
病例1,near,NBI,mmd_fusion,4,0,0.05,0.0,0.9453041516602684,0.679047017562415,1.0
病例1,near,NBI,mmd_fusion,4,0,0.1,0.0,0.5214838854368676,0.7931837326227597,0.7821316189236112
病例1,near,NBI,mmd_fusion,4,0,0.15,0.0,0.4957850160288123,0.8013510727703856,0.7689208984375
病例1,near,NBI,mmd_fusion,4,0,0.2,0.0025197556760464903,0.4701784936874184,0.8084426172536856,0.7544623480902778
病例1,near,NBI,mmd_fusion,4,0,0.25,0.004327119694990831,0.4482130842601021,0.8148276104050144,0.7422417534722222
病例1,near,NBI,mmd_fusion,4,0,0.3,0.007242648513871849,0.4262872521470693,0.8207846601873735,0.7294718424479166
病例1,near,NBI,mmd_fusion,4,0,0.35,0.009643672247067981,0.414809831004868,0.8235242493715109,0.7223375108506944
病例1,near,NBI,mmd_fusion,4,0,0.4,0.011754462342185459,0.4044141897864144,0.8260644222176008,0.7159084743923612
病例1,near,NBI,mmd_fusion,4,0,0.45,0.013759712932547064,0.39349085104418147,0.8288669852422977,0.7092624240451388
病例1,near,NBI,mmd_fusion,4,0,0.5,0.015764963522908668,0.3801664885687524,0.8325447484707224,0.7013821072048612
病例1,near,NBI,mmd_fusion,4,0,0.55,0.07162174641495495,0.23188348438674952,0.8595053435109254,0.5964423285590278
病例1,near,NBI,mmd_fusion,4,0,0.6,0.08703051410931255,0.2113956280260155,0.8595221978644471,0.5779893663194444
病例1,near,NBI,mmd_fusion,4,0,0.65,0.1069115183177003,0.19309771638896583,0.8561924937547942,0.5583631727430556
病例1,near,NBI,mmd_fusion,4,0,0.7,0.13813801928734448,0.17411379797100301,0.846632842822252,0.5325520833333334
病例1,near,NBI,mmd_fusion,4,0,0.75,0.18985237661772272,0.15342805503885174,0.8251758588017917,0.4953342013888889
病例1,near,NBI,mmd_fusion,4,0,0.8,0.2904183322119761,0.12652867376419835,0.7729183281955088,0.4298095703125
病例1,near,NBI,mmd_fusion,4,0,0.85,0.4111159483384124,0.09796704528963998,0.6982051382311827,0.3530815972222222
病例1,near,NBI,mmd_fusion,4,0,0.9,0.5635018007677999,0.06564557195815358,0.5811670062525635,0.2581312391493056
病例1,near,NBI,mmd_fusion,4,0,0.95,0.8321394176857825,0.03209720188388016,0.27977747971560524,0.10278998480902778
病例10,far,WLI,mmd_fusion,4,0,0.05,0.0,6.910081012929878,0.22446485021813972,0.9998643663194444
病例10,far,WLI,mmd_fusion,4,0,0.1,0.0,1.6681688931809646,0.5452311652593275,0.3372667100694444
病例10,far,WLI,mmd_fusion,4,0,0.15,5.365094693921348e-05,1.2298943076345297,0.619192372218702,0.2818603515625
病例10,far,WLI,mmd_fusion,4,0,0.2,0.0023069907183861796,0.6534685337196201,0.7526459577036272,0.2087131076388889
病例10,far,WLI,mmd_fusion,4,0,0.25,0.005365094693921347,0.580288642094533,0.7725549026945606,0.19907633463541666
病例10,far,WLI,mmd_fusion,4,0,0.3,0.008423198669456516,0.5519072911636891,0.7796996287529959,0.1951022677951389
病例10,far,WLI,mmd_fusion,4,0,0.35,0.012983529159289662,0.5323783464778153,0.7835345727106976,0.19205729166666666
