case,scale,ref_modality,config,fold,seed,threshold,missed_frac,over_ratio,dice,pred_area_frac
病例12,far,WLI,wli_only,1,2,0.05,1.0,0.4531698408557266,0.0,0.01177978515625
病例12,far,WLI,wli_only,1,2,0.1,1.0,0.0005217845030002609,0.0,1.3563368055555555e-05
病例12,far,WLI,wli_only,1,2,0.15,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.2,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.25,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.3,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.35,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.4,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.45,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.5,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.55,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.6,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.65,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.7,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.75,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.8,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.85,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.9,1.0,0.0,0.0,0.0
病例12,far,WLI,wli_only,1,2,0.95,1.0,0.0,0.0,0.0
病例12,near,WLI,wli_only,1,2,0.05,0.0,2.1924531155474893,0.47704767229942274,0.2863023546006944
病例12,near,WLI,wli_only,1,2,0.1,0.00015124016938898973,1.0939957652752572,0.6463471268285231,0.1877780490451389
病例12,near,WLI,wli_only,1,2,0.15,0.0006049606775559589,0.8608590441621294,0.6988155668340238,0.16682942708333334
病例12,near,WLI,wli_only,1,2,0.2,0.001663641863278887,0.7766938898971567,0.7195138567165722,0.1591864691840278
病例12,near,WLI,wli_only,1,2,0.25,0.003176043557168784,0.7313218390804598,0.7307702968630131,0.15498182508680555
病例12,near,WLI,wli_only,1,2,0.3,0.006125226860254083,0.7018300060496068,0.7373765709135509,0.1520724826388889
